group,area,Daily Deaths,Daily Cases,Deaths,Cases,code,population,Deaths per Million,Cases per Million,date
world,Afghanistan,2.0,187.0,7813.0,193817.0,AFG,38.928341,201.0,4980.0,2022-09-07
world,Albania,1.0,43.0,3609.0,323648.0,ALB,2.8778,1254.0,112460.0,2022-09-07
world,Algeria,0.0,16.0,6878.0,268994.0,DZA,43.851043,157.0,6130.0,2022-09-07
world,Andorra,0.0,0.0,155.0,45793.0,AND,0.077265,2006.0,592670.0,2022-09-07
world,Angola,0.0,0.0,1917.0,102636.0,AGO,32.866268,58.0,3120.0,2022-09-07
world,Antarctica,0.0,0.0,0.0,11.0,,,,,2022-09-07
world,Antigua and Barbuda,0.0,0.0,144.0,8809.0,ATG,0.097928,1470.0,89950.0,2022-09-07
world,Argentina,0.0,0.0,129440.0,9602534.0,ARG,45.195777,2864.0,212470.0,2022-09-07
world,Armenia,0.0,0.0,8637.0,428648.0,ARM,2.963234,2915.0,144660.0,2022-09-07
world,Australia,46.0,6776.0,14191.0,10193468.0,AUS,25.4597,557.0,400380.0,2022-09-07
world,Austria,7.0,2946.0,20692.0,4990906.0,AUT,9.0064,2297.0,554150.0,2022-09-07
world,Azerbaijan,5.0,114.0,9911.0,810205.0,AZE,10.139175,977.0,79910.0,2022-09-07
world,Bahamas,0.0,4.0,822.0,37046.0,BHS,0.393248,2090.0,94210.0,2022-09-07
world,Bahrain,0.0,57.0,1512.0,668102.0,BHR,1.701583,889.0,392640.0,2022-09-07
world,Bangladesh,0.0,12.0,29329.0,2009344.0,BGD,164.68938300000002,178.0,12200.0,2022-09-07
world,Barbados,0.0,4.0,528.0,96090.0,BRB,0.287371,1837.0,334380.0,2022-09-07
world,Belarus,0.0,0.0,7118.0,994037.0,BLR,9.449321,753.0,105200.0,2022-09-07
world,Belgium,0.0,0.0,32329.0,4444819.0,BEL,11.589616,2789.0,383520.0,2022-09-07
world,Belize,0.0,1.0,680.0,67634.0,BLZ,0.397621,1710.0,170100.0,2022-09-07
world,Benin,0.0,0.0,163.0,27316.0,BEN,12.123198,13.0,2250.0,2022-09-07
world,Bhutan,0.0,8.0,21.0,61204.0,BTN,0.771612,27.0,79320.0,2022-09-07
world,Bolivia,5.0,631.0,22282.0,1120381.0,BOL,11.673029,1909.0,95980.0,2022-09-07
world,Bosnia and Herzegovina,14.0,249.0,16327.0,401315.0,BIH,3.280815,4977.0,122320.0,2022-09-07
world,Botswana,0.0,0.0,2772.0,325724.0,BWA,2.351625,1179.0,138510.0,2022-09-07
world,Brazil,64.0,3260.0,683076.0,34278376.0,BRA,212.559409,3214.0,161260.0,2022-09-07
world,Brunei,0.0,2.0,225.0,212672.0,BRN,0.437483,514.0,486130.0,2022-09-07
world,Bulgaria,7.0,94.0,37723.0,1234182.0,BGR,6.948445,5429.0,177620.0,2022-09-07
world,Burkina Faso,0.0,0.0,387.0,21128.0,BFA,20.903278,19.0,1010.0,2022-09-07
world,Burundi,0.0,5.0,38.0,49037.0,BDI,11.890781,3.0,4120.0,2022-09-07
world,Cabo Verde,0.0,0.0,410.0,62219.0,CPV,0.555988,737.0,111910.0,2022-09-07
world,Cambodia,0.0,27.0,3056.0,138078.0,KHM,16.718971,183.0,8260.0,2022-09-07
world,Cameroon,0.0,0.0,1931.0,120215.0,CMR,26.545864,73.0,4530.0,2022-09-07
world,Canada,11.0,166.0,43709.0,4140007.0,CAN,37.855702,1155.0,109360.0,2022-09-07
world,Central African Republic,0.0,0.0,113.0,14781.0,CAF,4.829764,23.0,3060.0,2022-09-07
world,Chad,0.0,0.0,193.0,7442.0,TCD,16.425859,12.0,450.0,2022-09-07
world,Chile,32.0,5495.0,60893.0,4507758.0,CHL,19.116209,3185.0,235810.0,2022-09-07
world,China,6.0,1733.0,14975.0,2397302.0,CHN,1404.67633,11.0,1710.0,2022-09-07
world,Colombia,1.0,38.0,141091.0,6282346.0,COL,50.882884,2773.0,123470.0,2022-09-07
world,Comoros,0.0,0.0,161.0,8351.0,COM,0.8695950000000001,185.0,9600.0,2022-09-07
world,Congo (Brazzaville),0.0,0.0,386.0,24775.0,COG,5.518092,70.0,4490.0,2022-09-07
world,Congo (Kinshasa),0.0,0.0,1391.0,92456.0,COD,89.56140400000001,16.0,1030.0,2022-09-07
world,Costa Rica,0.0,0.0,8867.0,1044413.0,CRI,5.094114,1741.0,205020.0,2022-09-07
world,Cote d'Ivoire,0.0,8.0,811.0,86347.0,CIV,26.378275,31.0,3270.0,2022-09-07
world,Croatia,5.0,92.0,16659.0,1202871.0,HRV,4.105268,4058.0,293010.0,2022-09-07
world,Cruise Ship,0.0,0.0,15.0,721.0,,,,,2022-09-07
world,Cuba,0.0,67.0,8529.0,1111680.0,CUB,11.326616,753.0,98150.0,2022-09-07
world,Cyprus,0.0,8.0,1165.0,570743.0,CYP,1.207361,965.0,472720.0,2022-09-07
world,Czechia,9.0,120.0,40986.0,4023991.0,CZE,10.708982,3827.0,375760.0,2022-09-07
world,Denmark,4.0,157.0,6963.0,3305221.0,DNK,5.792203,1202.0,570630.0,2022-09-07
world,Djibouti,0.0,0.0,189.0,15690.0,DJI,0.988002,191.0,15880.0,2022-09-07
world,Dominica,0.0,0.0,68.0,14852.0,DMA,0.071991,945.0,206300.0,2022-09-07
world,Dominican Republic,0.0,16.0,4384.0,634365.0,DOM,10.847904,404.0,58480.0,2022-09-07
